RDO:;RDO NO. 13 TUGUEGARAO, CAGAYAN;(Formerly RDO No. 9 - Tuguegarao, Cagayan);;;
(EAST SIDE);BRGY CAGUMITAN BNDRY-GARCIA;RR;40.00;;
(EAST SIDE);DUQUE ST-BALIGOD ST;RR;40.00;;
DUQUE ST;NATIONAL RD-BONIFACIO ST;CR;85.00;;
BONIFACIO ST;GARCIA ST-NATIONAL RD;RR;60.00;;
BONIFACIO ST;BARANGAY BNDRY - BALIGOD ST;RR;40.00;;
ANGULUAN ST;HIZON ST-BALLESTEROS ST;RR;40.00;;
LUIS BALIGOD ST;HIZON ST-BALLESTEROS ST;RR;40.00;;
CLAVERIA ST;HIZON ST-BALLESTEROS ST;RR;40.00;;
BALIGOD ST;HIZON ST-BALLESTEROS ST;RR;40.00;;
R. BALLESTEROS ST;BRGY BOUNDERY - BALIGOD ST;RR;40.00;;
SANTO ANGEL ST;CAGUMITAN BRGY-DUQUE ST;RR;40.00;;
DEL PILAR ST;BRGY BULAGAO-P PAGELA ST;RR;40.00;;
DEL PILAR ST;DUQUE ST - J. BALIGOD ST;RR;40.00;;
HIZON ST;BULAGAO BGY.- J. BALIGOD ST;RR;40.00;;
ACCUSILIAN;ALL BARANGAY ROADS;RR;20.00;;
ALABIAO;ALL BARANGAY ROADS;RR;20.00;;
ALABUG;ALL BARANGAY ROADS;RR;20.00;;
ANGANG;ALL BARANGAY ROADS;RR;15.00;;
BAGUMBAYAN;ALL BARANGAY ROADS;RR;20.00;;
BARANGCUAG;ALL BARANGAY ROADS;RR;15.00;;
BATTUNG;ALL BARANGAY ROADS;RR;15.00;;
BICOK;ALL BARANGAY ROADS;RR;15.00;;
BUGNAY;ALL BARANGAY ROADS;RR;15.00;;
BULAGAO;ALL BARANGAY ROADS;RR;20.00;;
CAGUMITAN;ALL BARANGAY ROADS;RR;15.00;;
CATO;ALL BARANGAY ROADS;RR;15.00;;
CULONG;ALL BARANGAY ROADS;RR;15.00;;
CITY/MUNICIPALITY:;TUAO;;;;
CITY/MUNICIPALITY:;TUAO;;;;
BARANGAY:;VARIOUS;;;;
DACUL;ALL BARANGAY ROADS;RR;15.00;;
FUGU;ALL BARANGAY ROADS;RR;15.00;;
LAKAMBINI;ALL BARANGAY ROADS;RR;15.00;;
LALLAYUG;ALL BARANGAY ROADS;RR;15.00;;
MALUMMIN;ALL BARANGAY ROADS;RR;15.00;;
NAMBACAG;ALL BARANGAY ROADS;RR;15.00;;
MUNGO;ALL BARANGAY ROADS;RR;15.00;;
NARUANGAN;ALL BARANGAY ROADS;RR;15.00;;
PALCA;ALL BARANGAY ROADS;RR;15.00;;
PATA;ALL BARANGAY ROADS;RR;15.00;;
SAN JUAN;ALL BARANGAY ROADS;RR;15.00;;
SAN LUIS;ALL BARANGAY ROADS;RR;15.00;;
SAN VICENTE;ALL BARANGAY ROADS;RR;15.00;;
SANTO TOMAS;ALL BARANGAY ROADS;RR;15.00;;
TARIBUBU;ALL BARANGAY ROADS;RR;15.00;;
VILLALAIDA;ALL BARANGAY ROADS;RR;15.00;;
CITY/MUNICIPALITY:;TUAO;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;5.00;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;3.00;;
ALL LOTS;;A5;2.50;;
ALL LOTS;;A6;4.50;;
ALL LOTS;;A7;4.00;;
ALL LOTS;;A8;3.50;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
