RDO:;RDO NO. 47 - EAST MAKATI;;;;
RUFINO PACIFIC TOWERS;AYALA AVE;CC;78,750.00;;
RUFINO PACIFIC TOWERS;AYALA AVE;PS;47,250.00;;
RYCO BUILDING;AGUIRRE ST;RC;52,500.00;;
RYCO BUILDING;AGUIRRE ST;CC;63,000.00;;
RYCO BUILDING;AGUIRRE ST;PS;37,800.00;;
SALUSTIANA D. TY TOWER;PASEO DE ROXAS ST;CC;63,000.00;;
SALUSTIANA D. TY TOWER;PASEO DE ROXAS ST;PS;37,800.00;;
SENTA MAKATI CONDOMINIUM;LEGASPI ST;RC;80,000.00;;
SENTA MAKATI CONDOMINIUM;LEGASPI ST;CC;90,000.00;;
SENTA MAKATI CONDOMINIUM;LEGASPI ST;PS;54,000.00;;
SOMERSET MILLENIUM EXEC. RES.;AGUIRRE ST;RC;58,000.00;;
SOMERSET MILLENIUM EXEC. RES.;AGUIRRE ST;CC;66,000.00;;
SOMERSET MILLENIUM EXEC. RES.;AGUIRRE ST;PS;39,600.00;;
STATE CONDOMINIUM I;SALCEDO ST;RC;51,500.00;;
STATE CONDOMINIUM I;SALCEDO ST;CC;61,800.00;;
STATE CONDOMINIUM I;SALCEDO ST;PS;37,100.00;;
STATE CONDOMINIUM II;AGUIRRE ST (SALCEDO ST);RC;55,800.00;;
STATE CONDOMINIUM II;AGUIRRE ST (SALCEDO ST);CC;65,000.00;;
STATE CONDOMINIUM II;AGUIRRE ST (SALCEDO ST);PS;39,000.00;;
SUNRISE TERRACES APARTMENTS;PEREA ST;RC;49,800.00;;
SUNRISE TERRACES APARTMENTS;PEREA ST;CC;55,000.00;;
SUNRISE TERRACES APARTMENTS;PEREA ST;PS;33,000.00;;
THE BEACON TOWER 1;ROCES TOWER/A. ARNAIZ AVE.;RC;80,000.00;;
THE BEACON TOWER 1;ROCES TOWER/A. ARNAIZ AVE.;CC;90,000.00;;
THE BEACON TOWER 1;ROCES TOWER/A. ARNAIZ AVE.;PS;54,000.00;;
