RDO:;RDO NO. 42 - SAN JUAN;;;(FORMERLY RDO NO. 31 MANDALUYONG-SAN JUAN);
SAN MARIANO;N DOMINGO;RR;1,200.00;;
N DOMINGO;;RR;3,300.00;;
N DOMINGO;;CR;4,250.00;;
RIVERA;SAN JUAN RIVER;RR;1,200.00;;
SAN MARTIN;;RR;1,200.00;;
SANTO DOMINGO;N DOMINGO;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
ALL OTHER STREETS;;CR;2,650.00;;
BARANGAY:;RIVERA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
A LUNA;S J TOWNHALL;RR;1,600.00;;
G B SANTOS;S J ELEM SCH;RR;1,600.00;;
KATUBUSAN;;RR;1,350.00;;
M BASIBAS;S J ELEM SCHOOL;RR;1,350.00;;
N DOMINGO;;CR;3,000.00;;
OLAZO;N DOMINGO;RR;1,100.00;;
RIVERA;SAN JUAN RIVER;RR;1,100.00;;
SAN FABIAN;;RR;1,100.00;;
SAN MANUEL;N DOMINGO;RR;1,100.00;;
ALL OTHER STREETS;;RR;1,100.00;;
ALL OTHER STREETS;;CR;2,500.00;;
BARANGAY:;SALAPAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
A LAKE;AURORA BLVD   L  ASINAS;RR;1,500.00;;
A LAKE;L ASINAS   A LUNA;RR;1,200.00;;
A JUAN;AURORA BLVD   ERMITAÑO;RR;1,400.00;;
A LUNA;SAN JUAN RIVER;RR;1,100.00;;
A REYES;SAN JUAN RIVER;RR;1,100.00;;
ALICIA;AURORA BLVD   ERMITAÑO;RR;1,950.00;;
AURORA BLVD;;RR;4,000.00;;
AURORA BLVD;;CR;5,000.00;;
DIWA;AURORA BLVD;RR;2,030.00;;
F ANTONIO;ERMITAÑO   AURORA BLVD;RR;1,200.00;;
F ROMAN;AURORA BLVD;RR;2,100.00;;
H LOZADA;AURORA BLVD;RR;2,100.00;;
J DELA CRUZ;SAN JUAN RIVER;RR;1,100.00;;
J RUIZ;AURORA  B29 DE AGOSTO;RR;1,500.00;;
J RUIZ;29 DE AGOSTO   J  CRUZ;RR;1,200.00;;
L ASINAS;AURORA BLVD;RR;2,100.00;;
MORALES;AURORA BLVD   S J RIVER;RR;1,200.00;;
SALAPAN MELANIO;J RUIZ   ERMITAÑO CREEK;RR;1,100.00;;
TABING ILOG;J RUIZ   ERMITAÑO CREEK;RR;1,100.00;;
29 DE AGOSTO;SAN JUAN RIVER;RR;1,100.00;;
ALL OTHER STREETS;;RR;1,100.00;;
ALL OTHER STREETS;;CR;2,750.00;;
BARANGAY:;SAN PERFECTO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
E FERNANDEZ;F BLUMENTRITT;RR;1,450.00;;
F BLUMENTRITT;N DOMINGO   M SALVADOR;CR;3,250.00;;
F BLUMENTRITT;M SALVADOR   VICTORIA;RR;3,000.00;;
F BLUMENTRITT;M SALVADOR   VICTORIA;CR;3,500.00;;
JORGE;N DOMINGO;RR;1,600.00;;
LEYTE;F BLUMENTRITT;RR;1,600.00;;
M SALVADOR;;RR;1,600.00;;
N DOMINGO;F MANALO   SN JOAQUIN;RR;2,250.00;;
N DOMINGO;F MANALO   SN JOAQUIN;CR;2,750.00;;
N DOMINGO;S JOAQUIN   BLUMENTRITT;CR;3,000.00;;
REMEGIO;N DOMINGO;RR;1,600.00;;
S TORIBIO;F BLUMENTRITT;RR;1,650.00;;
SAN GABRIEL;;RR;1,650.00;;
SAN JOAQUIN;F BLUMENTRITT;RR;1,650.00;;
SAN PERFECTO;F BLUMENTRITT;RR;1,650.00;;
SAN SOTERO;S GABRIEL   BLUMENTRITT;RR;1,650.00;;
TAYUG;F BLUMENTRITT;RR;1,650.00;;
VICTORY;F BLUMENTRITT;RR;1,650.00;;
ALL OTHER STREETS;;RR;1,650.00;;
ALL OTHER STREETS;;CR;2,750.00;;
BARANGAY:;SANTA LUCIA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
A BONIFACIO;F MANALO   B PADILLA;RR;1,900.00;;
ANGELES;A BONIFACIO;RR;1,600.00;;
B ANGELES;J ASINAS;RR;1,600.00;;
PADILLA;A BONIFACIO;RR;1,950.00;;
BARCELONA;;RR;2,200.00;;
BIENVENIDA;SOISSON   P GUEVARA;RR;2,200.00;;
E SANTOS;GUEVARRA AVE;RR;2,250.00;;
F MANALO;IGLESIA NI CRISTO;RR;1,800.00;;
F MANALO EXT;J P RIZAL;RR;1,800.00;;
F MANALO EXT;J P RIZAL;CR;2,300.00;;
G PLANA;G MANALO;RR;1,650.00;;
GRUET;IGLESIA NI CRISTO;RR;1,900.00;;
HARDBOARD;P GUEVARRA;RR;1,900.00;;
J ASINAS;P PARADA;RR;2,000.00;;
LIEGE;WILSON;RR;2,000.00;;
LIONS ROAD;P GUEVARRA AVE;RR;2,000.00;;
LUSITANIA;PARADA   GUEVARRA AVE;RR;1,900.00;;
MIRANDA;F MANALO;RR;1,800.00;;
MONS;F MANALO;RR;2,000.00;;
ORIENTAL;IGLESIA NI CRISTO;RR;1,900.00;;
P GUEVARRA AVE;;RR;3,000.00;;
P GUEVARRA AVE;;CR;3,500.00;;
P PARADA;F MANALO   P GUEVARRA;RR;2,500.00;;
D VICENCIO;P PARADA;RR;1,800.00;;
PETAIN;;RR;1,800.00;;
SEAVIEW;;RR;2,000.00;;
SOISSON;;RR;2,000.00;;
SOMME;WILSON;RR;2,000.00;;
T CLAUDIO;F MANALO;RR;1,700.00;;
V CRUZ;M MARCOS   WILSON;RR;2,500.00;;
WILSON;GUEVARRA   GRUET;RR;3,000.00;;
WILSON;GUEVARRA   GRUET;CR;3,500.00;;
ALL OTHER STREETS;;RR;1,550.00;;
ALL OTHER STREETS;;CR;2,300.00;;
BARANGAY:;TIBAGAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
A BONIFACIO;DOMINICAN COLLEGE;RR;2,000.00;;
ARELLANO JR;BLUMENTRITT;RR;1,800.00;;
BLUMENTRITT;;RR;2,300.00;;
BLUMENTRITT;;CR;2,750.00;;
BUGALLON DN EJERCITO;DOMINICAN COLLEGE;RR;1,550.00;;
F ROXAS;PINAGLABANAN ELEM;RR;1,600.00;;
