RDO:;RDO NO. 83-TALISAY, CEBU;;;Formerly RDO NO. 60A;
UPPER MANATAD;ALONG PROV RD ABOUT 200M;A;1.80;;
LOWER MANATAD;PROV'L RD-BGY BDY;A;1.85;;
LOWER MANATAD;ALONG PROV RD ABOUT 200M;A;2.00;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;MANGYAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO HAPPY VALLEY;BGY RD-BRGY BDRY;A;1.90;;
(LOWER MANGYAN);REMAINING AREAS;A;2.00;;
UPPER MANGYAN;BGY RD-BRGY BDRY;A;1.80;;
UPPER MANGYAN;RAMINING AREAS;A;1.90;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;PAPAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
UPPER PAPAN;PROV'L RD-BGY BDRY;A;2.50;;
UPPER PAPAN;ABOUT 200 METERS AWAY;A;2.10;;
LOWER PAPAN;PROV'L RD-BGY BDRY;A;2.75;;
LOWER PAPAN;ABOUT 200 METERS AWAY;A;1.50;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
MARTIN BACALTOS STREET;RIZAL-A MABINI;RR;37.50;;
JOSE LARIOSA STREET;RIZAL-A MABINI;RR;40.00;;
LEONILO MERCADO STREET;RIZAL-A MABINI;RR;32.50;;
ISIDRO KINTANAR STREET;RIZAL-ZAMORA;RR;32.50;;
ISIDRO KINTANAR STREET;ZAMORA-ROSALIO PROV'L RD;X;0.00;;
ISIDRO KINTANAR STREET;PROV'L RD-A MABINI;RR;35.00;;
NATIONA HIGHWAY;RIZAL-ZAMORA;RR;42.50;;
NATIONA HIGHWAY;ZAMORA-M BACALTOS;GL;0.00;;
NATIONA HIGHWAY;S ORTIZ-SIKATUNA;GL;0.00;;
NATIONA HIGHWAY;SIKATUNA-A MABINI;RR;35.00;;
R MENDEZ STREET;ROSALIO-PROV'L RD;CR;40.00;;
R MENDEZ STREET;ABOUT 100 METERS OR OVER;A;1.75;;
T ALDANESE STREET;ROSALIO-PROV'L RD;CR;45.00;;
PROV'L ROAD;VELOSO-M BACALTOS;CR;45.00;;
PROV'L ROAD;R MENDEZ-SITIO TALOOT;RR;35.00;;
PROV'L ROAD;M BACALTOS-G HERMOSISIMA;RR;32.50;;
ROSALIOS TREET;R MENDEZ-ALDANESE;CR;45.00;;
ROSALIOS TREET;T ALDANESE-ISIDRO KINTANA;RR;35.00;;
ROSALIOS TREET;ISIDRO KINTANAR-NAT'L HIW;X;0.00;;
ROSALIOS TREET;NAT'L HIWAY-HERMOSISINA;CR;45.00;;
CARMELO DELOS CIENTOS ST;RIZAL-ROSALIO;RR;27.50;;
CARMELO DELOS CIENTOS ST;ABOUT 100 METERS OR OVER;A;1.75;;
GREGORIO HERMOSISIMA ST;ZAMORA-ROSALIO PROV'L RD;GL;0.00;;
GREGORIO HERMOSISIMA ST;ROSALIO-A MABINI;RR;40.00;;
GREGORIO HERMOSISIMA ST;ABOUT 100 METERS OR OVER;A;2.00;;
ZAMORA STREET;DELOS CIENTOS-HERMOSISIMA;RR;37.50;;
S ORTIZ STREET;NAT'L HIWAY-G HERMOSISIMA;RR;40.00;;
ZULUETA STREET;M BACALTOS-ISIDRO KINTANA;RR;32.50;;
GEN ANTONIO LUNA STREET;VELOSO ST-G HERMOSISIMA;RR;35.00;;
APOLINARIO MABINIS TREET;VELOSO ST-G HERMOSISIMA;RR;40.00;;
RIZALS TREET;DELOS CIENTOS-NAT'L HIWAY;RR;35.00;;
MALVAR STREET;DELOS CIENTOS-NAT'L HIWAY;RR;37.50;;
LOPEZ JAENA STREET;JOSE LARIOSA-NAT'L HIWAY;RR;32.50;;
HUMABAD STREET;JOSE LARIOSA-NAT'L HIWAY;RR;32.50;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;SABANG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
UPPER SABANG;BGY RD-BGY BDRY;RR;23.50;;
UPPER SABANG;REM'NG 100 METERS OR OVER;A;2.65;;
LOWER SABANG;BGY RD-BGY BDRY;RR;21.00;;
LOWER SABANG;PRAWN FARM AREAS;A;5.00;;
LOWER SABANG;REM'NG 100 METERS OR OVER;A;2.70;;
MUNICIPALITY:  SIBONGA;SIBONGA;;;;
BARANGAY:;SAYAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;MUN BDRY CARCAR & BARILI;A;1.50;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;SIMALA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO DUMLOG;BGY RD-BGY BDRY;RR;23.50;;
SITIO DUMLOG;REM'NG 100 METERS OR OVER;A;2.50;;
SITIO DUMLOG;PRAWN FARMS AREAS;A;5.00;;
SITIO ILIHAN;BGY RD-BGY BDRY;RR;25.00;;
SITIO ILIHAN;REM'NG 100 METERS OR OVER;A;2.60;;
SITIO BONTORIS;BGY RD-MUN BDRY;RR;24.00;;
SITIO BONTORIS;REM'NG 100M ETERS OR OVER;A;2.50;;
LOWER SIMALA;NAT'L HIWAY-BARANGAY RD;RR;20.00;;
LOWER SIMALA;REM'NG 100 METERS OR OVER;A;2.10;;
INTERIOR AREAS;PLAIN;A;1.25;;
INTERIOR AREAS;HILLY;A1;1.10;;
INTERIOR AREAS;MOUNTAINOUS;A1;1.00;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;TUBOD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO SEN (LOWER TUBOD);BGY RD-BGY BDRY;A;2.75;;
SITIO SEN (LOWER TUBOD);ABOUT 200M FROM BGY RD;A;2.50;;
UPPER TUBOD;BGY RD-BGY BDRY;A;2.50;;
UPPER TUBOD;ABOUT 200M FROM BGY RD;A;2.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;BIASONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;POOC BDRY-MANANGA RIVER;RR;150.00;;
BARANGAY ROAD;BIASONG PROP-POOC BDRY;RR;150.00;;
INTERIOR AREAS;;A;10.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;BULACAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;NAT'L RD-BULACAO ELEM SCH;RR;435.00;;
BARANGAY ROAD;NAT'L RD-CANDULAWAN BDRY;RR;285.00;;
EAST VISAYAN ACADEMY;;X;895.00;;
HILLSIDE SUBD;NAT'L RD-BULACAO ELEM SCH;RR;295.00;;
MAHARLIKA SUBD;100M AWAY NAT'L RD;RR;400.00;;
MANSUETO SUBD;INTERIOR AREA 150M NATL RD;RR;400.00;;
MINGCOURT SUBD;NATL RD-NEW FRONTIER SUBD;RR;300.00;;
NATIONAL ROAD;BULACAO-TABUNOK BDRY TO  BULACAO-CEBU CITY BDRY;CR;995.00;;
NEW FRONTIER SUBD;NAT'L RD-BULACAO BRIDGE;RR;300.00;;
INTERIOR AREAS;;RR;150.00;;
INTERIOR AREAS;;A;8.00;;
INTERIOR AREAS;;A1;6.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;CAMP 4;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY/PROV'L.ROAD;LOW AREAS;A;4.00;;
BARANGAY/PROV'L.ROAD;HILLY AREAS;A1;3.50;;
BARANGAY/PROV'L.ROAD;MOUNTAIN AREAS;A1;2.50;;
BARANGAY/PROV'L.ROAD;FOREST LAND;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
RIVER BANK;;A;3.00;;
INTERIOR AREAS;LOW AREAS;A;3.00;;
INTERIOR AREAS;HILLY AREAS;A1;2.00;;
INTERIOR AREAS;MOUNTAIN AREAS;A1;2.00;;
INTERIOR AREAS;FOREST LAND;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;MANIPIS-CAMP 6;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY/PROVINCIAL ROAD;LOW AREAS;A;4.00;;
BARANGAY/PROVINCIAL ROAD;HILLY AREAS;A1;3.50;;
BARANGAY/PROVINCIAL ROAD;MOUNTAIN AREAS;A1;2.50;;
BARANGAY/PROVINCIAL ROAD;FOREST LAND;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
RIVER BANK;;A;3.00;;
INTERIOR AREAS;LOW AREAS;A;3.00;;
INTERIOR AREAS;HILLY AREAS;A1;2.50;;
INTERIOR AREAS;MOUNTAIN AREAS;A1;2.00;;
INTERIOR AREAS;FOREST LAND;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;CANDULAWAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;LAGTANG CRSNG LOWER CANDULAWAN;A;82.00;;
UPPER CANDULAWAN;NEAR ELEM SCHOOL;A;70.00;;
INTERIOR AREAS;PLANTED TO RICE;A;63.00;;
INTERIOR AREAS;PLANTED TO CORN/COCO;A;65.00;;
INTERIOR AREAS;HILLY AREAS;A1;55.00;;
INTERIOR AREAS;MOUNTAINOUS AREAS;A1;55.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;CANSOJONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
MUNICIPAL ROAD;POBLACION-CANSOJONG BDRY TO CANSOJONG-TANGKE BDRY;RR;200.00;;
BARANGAY/PRIVATE ROADS;CANTON, CABRERA, ABARQUEZ LABUCA & OTHER EXISTING ROADS WITHIN 100M INWARD;RR;200.00;;
KIMBA ROAD;SAN ISIDRO BDRY TO TANGKE-CANSOJONG BDRY;RR;200.00;;
SHORELINE;POBLACION BDRY TO TANGKE BDRY (50M INWARD);CR;200.00;;
ALL RESIDENTIAL SUBD;;RR;250.00;;
INTERIOR AREAS;;A;8.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;DUMLOG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;BASCON ST-POBLACION;RR;137.00;;
BARANGAY ROAD;SHORELINE-MANANGA RIVER TO POBLACION BDRY(SITIO LITMON);CR;100.00;;
CONG. BASCON;JOSE RIZAL-DUMLOG-SAN SAN ISIDRO BDRY;RR;290.00;;
CONG. BASCON;JOSE RIZAL-POBLACION;RR;240.00;;
CONG. BASCON;POB MUNICIPAL RD-SHORELINE;RR;140.00;;
JOSE RIZAL;BASCON-POBLACION BDRY;RR;292.00;;
JOSE RIZAL;BASCON-MANANGA RIVER;RR;235.00;;
MUNICIPAL ROAD;BASCON-POBLACION BDRY;RR;127.00;;
MUNICIPAL ROAD;BASCON-MANANGA RIVER;RR;110.00;;
PRIVATE ROAD;MANANGA RIVER CROSSING BASCON CONNECTING RAMONA ROAD TO POBLACION BDRY;RR;165.00;;
ALL RESIDENTIAL SUBD;;RR;250.00;;
INTERIOR AREAS;;RR;150.00;;
INTERIOR AREAS;PLANTED TO CORN/COCONUT/SUGARCANE;A;9.50;;
INTERIOR AREAS;PLANTED TO OTHERS;A;8.50;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;JACLUPAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;70.00;;
RIVER BANK;;I;50.00;;
INTERIOR AREAS;;A;3.00;;
INTERIOR AREAS;;A1;2.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;LAGTANG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY RD HOLLOW BLOCK;SITION MOLAVE-MANANGA RIVER;RR;250.00;;
ILANG-ILANG;PROV'L RD-STO. NINO VILL;RR;250.00;;
PROVINCIAL ROAD;ST SCHO-ILANGILANG;CR;785.00;;
PROVINCIAL ROAD;ILANGILANG-7TH DAY ADVENT;RR;200.00;;
PROVINCIAL ROAD;7TH DAY ADVENT-JACLUPAN;RR;150.00;;
RIVER BANK;SITIO HALLOW BLOCK-NUNEZ  BATCHING PLANT;RR;150.00;;
STO.NINO VILLAGE;EAST OF ILANGILANG & WEST OF MOLAVE;RR;250.00;;
ST. SCHOLASTICA'S ACDMY;COR PROV'L ROAD AND BARANGAY ROAD;X;385.00;;
INTERIOR AREAS;ALONG RIVER BANK PROV'L RD & BRGY RD HOLLOW BLOCK;RR;150.00;;
INTERIOR AREAS;100M AWAY ILANG-ILANG, PROV'L RD, SITIO MOLAVE, & BGY BULACAO BDRY;RR;200.00;;
INTERIOR AREAS;PLAIN AREAS;A;5.00;;
INTERIOR AREAS;HILLY AREAS;A1;4.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;LAWAAN I;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
LAWAAN ELEM SCH;EAST OF SEAVIEW HTS & WEST OF NATIONAL  RD;GP;200.00;;
MAGHAWAY BGY RD;NATL RD ALONG MAGHAWAY RD TO BOUNDARY;RR;150.00;;
MOHON-LINAO BGY ROAD;LINAO BDRY CRSNG LAWAAN  TO COR POOC BGY ROAD;RR;150.00;;
NATIONAL ROAD;LINAO BDRY-POOC BGY RD;CR;350.00;;
POOC BARANGAY ROAD;NATL RD-MOHON-LINAO RD;RR;200.00;;
SEAVIEW HEIGHTS;AREAS 100M FROM NATL RD;RR;350.00;;
INTERIOR AREAS;;RR;150.00;;
INTERIOR AREAS;;A;5.00;;
INTERIOR AREAS;;A1;4.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;LAWAAN II;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;LAWAAN I BDRY-MANANGA BDRY;RR;400.00;;
FAIRVIEW VILLAGE;EAST OF NATL ROAD;RR;400.00;;
POOC BARANGAY ROAD;NATL RD ALONG LAWAAN II TO MOHON-DUMLOG BGY RD;RR;200.00;;
ALONG MANANGA RIVER;FAIRVIEW VILL DOWN TO MOHON-DUMLOG BGY RD;RR;150.00;;
INTERIOR AREAS;SITIO BONBON,LOWER SOMBIA & LITTLE CALAMBA RIVER;RR;100.00;;
INTERIOR AREAS;A HECTARE AWAY FROM EXISTING BGY ROADS;A;5.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;LAWAAN III;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;LAWAAN III BDRY-MANANGA RIVER;CR;400.00;;
DON BOSCO SEMINARY;;I;400.00;;
BARANGAY ROAD;NATL RD-BGY MAGHAWAY;RR;150.00;;
SAN JOSE VILLAGE;;RR;300.00;;
BLISS PROJECT;SITIO CADICAY;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
ALONG RIVER BANK;NATL RD TO MAGHAWAY BDRY;A;4.00;;
ALL RESIDENTIAL SUBD;;RR;300.00;;
INTERIOR AREAS;SUCH AS SITIO PUNGSOD,UPPER SOMBRIA, UPPER LAWAAN, UPPER CADICAY & SITIO CADULDULAN;A;5.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;LINAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;MINGLANILLA BDRY-LAWAAN BDRY;CR;250.00;;
LINAO-MOHON ROAD;NATL RD-MOHON BDRY;RR;150.00;;
LINAO-MAGHAWAY RD;NATL RD-MAGHAWAY RD;RR;150.00;;
LINAO-LAWAAN RD;COR DAR-LAWAAN BDRY;RR;150.00;;
H. CAPARIDA ROAD;LINAO-MOHON RD-NATL RD;RR;150.00;;
ALL RESIDENTIAL SUBD;;RR;200.00;;
INTERIOR AREAS;;A;7.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;MAGHAWAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
LOWER MAGHAWAY;;A;5.00;;
LOWER MAGHAWAY;;A1;4.00;;
MAGHAWAY PROPER;;RR;50.00;;
MAGHAWAY PROPER;;A;5.00;;
MAGHAWAY PROPER;;A1;4.00;;
MAGHAWAY DAKU;;A;5.00;;
MAGHAWAY DAKU;HILLY AREA;A1;4.00;;
MAGHAWAY DAKU;MOUNTAIN AREA;A1;3.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;MOHON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BELLEZA;MOHON CENTRAL CROSSING M. NOEL AVE-DEAD END;RR;250.00;;
M. NOEL AVENUE;FIDEL BAS-OLD RAILWAY;RR;250.00;;
FIDEL BAS;M NOEL AVE - MANANGA RIV;RR;250.00;;
FIDEL BAS;M NOEL AVE - LINAO BDRY;RR;250.00;;
VALLEY VIEW SUBD;INTERIOR AREAS ALONG FIDEL BAS, M NOEL AVE & BELLEZA ST;RR;300.00;;
MOHON BARANGAY RD;FIDEL BAS-OLD RAILWAY;RR;200.00;;
ALL RESIDENTIAL SUBD;;RR;250.00;;
INTERIOR AREAS;A HECTARE AWAY FROM EXISTING BGY/PRIVATE RD;A;10.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BEJON FACTORY COMPOUND;INTERIOR LOT ALONG ULDOG;I;270.00;;
BURGOS;CREEK-GEN J LUNA;RR;320.00;;
BURGOS;GEN J LUNA-V GARCES;CR;345.00;;
BURGOS;V GARCES-TALISAY ROAD;CR;370.00;;
CABALAN;V GARCES-P DEL ROSARIO;RR;345.00;;
CABALAN;V GARCES-TALISAY ROAD;CR;370.00;;
GEN J LUNA;CREEK-BURGOS;RR;295.00;;
GEN J LUNA;BURGOS-CABALAN;RR;345.00;;
J RIZAL (PROVINCIAL RD);V GARCES-GEN J LUNA-DEL  ROSARIO (50M INWARD);RR;345.00;;
J RIZAL (PROVINCIAL RD);DEL ROSARIO-DUMLOG-POB BDRY EX TALISAY CTL SCH;RR;320.00;;
J RIZAL (PROVINCIAL RD);TALISAY CENTRAL SCH;GL;0.00;;
J RIZAL (PROVINCIAL RD);SISTERS OF MARY SCHOOL;X;350.00;;
J RIZAL (PROVINCIAL RD);LOT 14 - STA. TERESA PARALONG J RIZAL, LOPEZ JAENA,AND V GARCES STS;GP;320.00;;
J RIZAL (PROVINCIAL RD);REMAINING LOTS IN BETWN RIZAL & ULDOG TO DUMLOG'-POBLACION BDRY;RR;245.00;;
LA PATRIA;DEL ROSARIO-V GARCES;RR;345.00;;
LA PATRIA;V GARCES-TALISAY RD;CR;370.00;;
LA REVOLUCION;DEL ROSARIO-V GARCES;RR;345.00;;
LOPEZ JAENA;V GARCES-DEL ROSARIO;RR;345.00;;
P DEL ROSARIO;BURGOS-CABALAN;RR;345.00;;
TALISAY BLVD;POB-DUMLOG BDRY-BURGOS;CR;320.00;;
TALISAY BLVD;BURGOS-CABALAN;CR;395.00;;
TALISAY BLVD;CABALAN-POB-CANSOJON BDRY;CR;320.00;;
TRES ALINOS;LOPEZ JAENA-CABALAN;RR;345.00;;
TRES ALINOS;LOT 194-BURGOS;RR;295.00;;
TRES ALINOS;BURGOS TO RIZAL;RR;345.00;;
ULDOG ROAD;P DEL ROSARIO-CABALAN;A;195.00;;
V GARCES;BURGOS-LA REVOLUCION;RR;345.00;;
V GARCES;LA REVOLUCION-PLAZA MARTIRES;GL;320.00;;
V GARCES;PLAZA MARTIREZ-CABALAN;CR;370.00;;
V GARCES;CABALAN-POBLACION-DUMLOG;RR;320.00;;
INTERIOR AREAS;100M AWAY & OVER ULDOG RD & CABALAN EXT TO BGY BOUNDARY (NORTHERN);A;115.00;;
INTERIOR AREAS;AREAS W/IN LAPATRIA,L LOPEZ JAENA, V GARCES & TALISAY BLVD;GL;0.00;;
INTERIOR AREAS;100M AWAY & SHORELINE, BURGOS & GEN. LUNA EXT TO DUMLOG BDRY (SO);A;115.00;;
INTERIOR AREAS;100M AWAY & OVER GEN.LUNA, P DEL ROSARIO & RIZAL TO DUMLOG BDRY;A;115.00;;
INTERIOR AREAS;ALL OTHER LOTS NOT CITED ABOVE;A;115.00;;
ALL RESIDENTIAL SUBD;;RR;350.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;POOC;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;250.00;;
SHORELINE;;CR;100.00;;
BARANGAY/MUNICIPAL RDS;;A;15.00;;
INTERIOR AREAS;;A;10.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;SAN ISIDRO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;TABUNOK-SN ISIDRO BDRY TO DUMLOG-SAN ISIDRO BDRY;RR;290.00;;
BARANGAY ROAD;;RR;250.00;;
ALL RESIDENTIAL SUBD;;RR;250.00;;
INTERIOR AREAS;;A;15.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;SAN ROQUE;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;CANSOJONG BDRY-CEBU CITY BDY;RR;250.00;;
SAN ROQUE-TABUNOK PROV'L ROAD;OLD RAILWAY-PROVL RD;RR;250.00;;
MUNICIPAL/BARANGAY/PRIVATE ROADS;;RR;250.00;;
ALL RESIDENTIAL SUBD;;RR;300.00;;
INTERIOR AREAS;;A;12.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;TABUNOK;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL HIGHWAY;MANANGA RIVER/BRIDGE TO TABUNOK-BULACAO BDRY;CR;1000.00;;
PROVL RD (BOUND FOR TOLEDO CITY);NAT'L HIWAY TO TABUNOK-LAGTANG BDRY EX SSA CPD;CR;1000.00;;
PROVL RD (BOUND FOR TOLEDO CITY);INTERSECTION ROAD TO SANGI-TABUNOK & RD BND TO SAN ISIDRO;CR;1000.00;;
PROVL RD (BOUND FOR TOLEDO CITY);TABUNOK-SAN ISIDRO BDRY TO INTERSECTION RD & NAT'L HIWAY;CR;970.00;;
PROVL RD (BOUND FOR TOLEDO CITY);OLD RAILWAY-INTERSECTION SANGI RD (50M INWARD);RR;350.00;;
INTERIOR AREAS;BNDED BY NAT'L HIWAY,PROV'L RD TO TOLEDO CITY;CR;895.00;;
INTERIOR AREAS;A HEC AWAY FROM EXISTING BGY/PROV'L/PRIVATE ROADS, EXC THOSE ONGOING OF SUBDIVISION;A;15.00;;
PUBLIC MARKET SITE;;CR;1000.00;;
MOLAVE;NAT'L HIWAY-END OF ST INTERSECTING W/ BGY RD BND FOR TALISAY SPORTS COMPLEX;RR;500.00;;
BARANGAY RD/HOLLOW BLOCKS;;RR;400.00;;
INTERIOR AREAS;BET MOLAVE & BGY RD;RR;450.00;;
INTERIOR AREAS;BNDED BY BGY RD ALONG NUNEZ CMPD;RR;350.00;;
INTERIOR AREAS;BGY RD-LAGTANG & BULACAO;RR;350.00;;
ST. SCHOLASTICA'S ACDMY;PROV'L RD-TOLEDO CITY;X;500.00;;
OTHER BARANGAYS RDS.;EXC ALREADY MENTIONED (50 METERS INWARD);RR;350.00;;
RESIDENTIAL SUBD;;RR;400.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;TANKE;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;250.00;;
ALL SUBDIVISIONS;;RR;250.00;;
SHORELINE;;CR;200.00;;
INTERIOR AREAS;;A;8.00;;
MUNICIPALITY:;TALISAY;;;;
BARANGAY:;TANPUL;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;LOW AREAS;A;2.50;;
BARANGAY ROAD;HILLY AREAS;A1;2.50;;
BARANGAY ROAD;MOUNTAINOUS AREAS;A1;2.50;;
INTERIOR AREAS;LOW AREAS;A;2.50;;
INTERIOR AREAS;HILLY AREAS;A1;2.50;;
INTERIOR AREAS;MOUNTAINOUS AREAS;A1;2.50;;
FOREST LAND;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
