RDO:;RDO NO. 83-TALISAY, CEBU;;;Formerly RDO NO. 60A;
MUNICIPALITY:;BADIAN;;;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;BATO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;22.50;;
BARANGAY ROAD;;A;13.50;;
CULTIVATED TO CROPS;;A1;1.35;;
CULTIVATED TO CROPS;;A2;1.10;;
PLANTED TO COCONUT/ORCHARD;;A1;1.35;;
PLANTED TO COCONUT/ORCHARD;;A2;1.10;;
MARSHLAND/SWAMPS;;A3;1.00;;
PASTURE/OPEN RANGE;;A1;1.10;;
PASTURE/OPEN RANGE;;A2;1.00;;
WITHIN/NEAR GOLF SITE;;A3;2.25;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;BUGAS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;27.50;;
BARANGAY ROAD;;A;22.50;;
NEAR TRADING CENTER;;CR;22.50;;
CULTIVATED TO CROPS;;A1;1.90;;
CULTIVATED TO CROPS;;A2;1.35;;
PLANTED TO COCONUT/ORCHARD;;A1;1.90;;
PLANTED TO COCONUT/ORCHARD;;A2;1.35;;
MARSHLAND/SWAMPS;;A3;1.00;;
PASTURE/OPEN RANGE;;A1;1.10;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;CALANGCANG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;30.00;;
CULTIVATED CROPS;;A1;2.75;;
CULTIVATED CROPS;;A2;2.25;;
PLANTED TO COCONUT/ORCHARD;;A1;2.75;;
PLANTED TO COCONUT/ORCHARD;;A2;2.25;;
FOREST/TIMBERLAND;;A1;1.10;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.30;;
PASTURE/OPEN RANGE;;A2;1.10;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;CANDIIS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED CROPS;;A1;1.90;;
CULTIVATED CROPS;;A2;1.35;;
PLANTED TO COCONUT/ORCHARD;;A1;1.90;;
PLANTED TO COCONUT/ORCHARD;;A2;1.35;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.00;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;DAGATAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;1.50;;
CULTIVATED CROPS;;A1;1.50;;
CULTIVATED CROPS;;A2;1.20;;
PLANTED TO COCONUT/ORCHARD;;A1;1.00;;
PLANTED TO COCONUT/ORCHARD;;A2;1.10;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.00;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;DOBDOB;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED CROPS;;A1;1.70;;
CULTIVATED CROPS;;A2;1.30;;
PLANTED TO COCONUT/ORCHARD;;A1;1.70;;
PLANTED TO COCONUT/ORCHARD;;A2;1.30;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.00;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;GINABLAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;22.50;;
BUILT-UP AREA;;CR;22.50;;
CULTIVATED CROPS;;A1;2.25;;
CULTIVATED CROPS;;A2;1.75;;
PLANTED TO COCONUT/ORCHARD;;A1;2.25;;
PLANTED TO COCONUT/ORCHARD;;A2;1.75;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
MARSHLAND/SWAMPS;;A3;1.00;;
PASTURE/OPEN RANGE;;A1;1.25;;
PASTURE/OPEN RANGE;;A2;1.00;;
PASTURE/OPEN RANGE;;;;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;LAMBUG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;32.50;;
BARANGAY ROAD;;A;25.00;;
CULTIVATED TO CROPS;;A1;2.50;;
